Year,Month,ENSO_Index
1982,Apr,0.45
1982,May,0.72
1982,Jun,0.8
1982,Jul,0.64
1982,Aug,0.93
1982,Sep,1.64
1982,Oct,2.16
1982,Nov,2.09
1982,Dec,2.28
1983,Jan,2.32
1983,Feb,1.94
1983,Mar,1.49
1983,Apr,1.19
1983,May,1.18
1983,Jun,0.82
1983,Jul,0.17
1983,Aug,-0.04
1983,Sep,-0.36
1983,Oct,-0.96
1983,Nov,-1.1
1983,Dec,-0.94
1984,Jan,-0.69
1984,Feb,-0.18
1984,Mar,-0.39
1984,Apr,-0.44
1984,May,-0.46
1984,Jun,-0.63
1984,Jul,-0.24
1984,Aug,-0.04
1984,Sep,-0.19
1984,Oct,-0.49
1984,Nov,-1.0
1984,Dec,-1.25
1985,Jan,-1.17
1985,Feb,-0.71
1985,Mar,-0.67
1985,Apr,-0.93
1985,May,-0.75
1985,Jun,-0.65
1985,Jul,-0.47
1985,Aug,-0.35
1985,Sep,-0.55
1985,Oct,-0.3
1985,Nov,-0.2
1985,Dec,-0.32
1986,Jan,-0.56
1986,Feb,-0.6
1986,Mar,-0.26
1986,Apr,-0.08
1986,May,-0.27
1986,Jun,-0.01
1986,Jul,0.17
1986,Aug,0.51
1986,Sep,0.65
1986,Oct,0.98
1986,Nov,1.2
1986,Dec,1.24
1987,Jan,1.22
1987,Feb,1.23
1987,Mar,1.13
1987,Apr,0.82
1987,May,0.88
1987,Jun,1.21
1987,Jul,1.57
1987,Aug,1.76
1987,Sep,1.77
1987,Oct,1.42
1987,Nov,1.27
1987,Dec,1.07
1988,Jan,0.99
1988,Feb,0.37
1988,Mar,0.25
1988,Apr,-0.19
1988,May,-1.0
1988,Jun,-1.44
1988,Jul,-1.45
1988,Aug,-0.99
1988,Sep,-0.87
1988,Oct,-1.71
1988,Nov,-1.85
1988,Dec,-1.83
1989,Jan,-1.87
1989,Feb,-1.37
1989,Mar,-1.05
1989,Apr,-0.82
1989,May,-0.61
1989,Jun,-0.29
1989,Jul,-0.3
1989,Aug,-0.33
1989,Sep,-0.18
1989,Oct,-0.22
1989,Nov,-0.25
1989,Dec,-0.01
1990,Jan,0.11
1990,Feb,0.31
1990,Mar,0.2
1990,Apr,0.33
1990,May,0.34
1990,Jun,0.21
1990,Jul,0.37
1990,Aug,0.42
1990,Sep,0.35
1990,Oct,0.4
1990,Nov,0.31
1990,Dec,0.48
1991,Jan,0.45
1991,Feb,0.29
1991,Mar,0.05
1991,Apr,0.32
1991,May,0.4
1991,Jun,0.65
1991,Jul,0.86
1991,Aug,0.69
1991,Sep,0.36
1991,Oct,0.82
1991,Nov,1.19
1991,Dec,1.62
1992,Jan,1.78
1992,Feb,1.74
1992,Mar,1.38
1992,Apr,1.32
1992,May,1.16
1992,Jun,0.7
1992,Jul,0.33
1992,Aug,0.07
1992,Sep,-0.13
1992,Oct,-0.34
1992,Nov,-0.28
1992,Dec,-0.21
1993,Jan,0.1
1993,Feb,0.38
1993,Mar,0.4
1993,Apr,0.71
1993,May,0.91
1993,Jun,0.48
1993,Jul,0.33
1993,Aug,0.15
1993,Sep,0.29
1993,Oct,0.02
1993,Nov,0.01
1993,Dec,0.1
1994,Jan,0.06
1994,Feb,0.03
1994,Mar,0.11
1994,Apr,0.38
1994,May,0.43
1994,Jun,0.44
1994,Jul,0.35
1994,Aug,0.54
1994,Sep,0.41
1994,Oct,0.71
1994,Nov,1.11
1994,Dec,1.19
1995,Jan,0.98
1995,Feb,0.71
1995,Mar,0.48
1995,Apr,0.41
1995,May,0.02
1995,Jun,-0.01
1995,Jul,-0.11
1995,Aug,-0.61
1995,Sep,-0.9
1995,Oct,-0.92
1995,Nov,-1.1
1995,Dec,-1.0
1996,Jan,-0.86
1996,Feb,-0.85
1996,Mar,-0.56
1996,Apr,-0.36
1996,May,-0.26
1996,Jun,-0.3
1996,Jul,-0.32
1996,Aug,-0.2
1996,Sep,-0.45
1996,Oct,-0.4
1996,Nov,-0.34
1996,Dec,-0.61
1997,Jan,-0.54
1997,Feb,-0.36
1997,Mar,-0.2
1997,Apr,0.27
1997,May,0.76
1997,Jun,1.22
1997,Jul,1.67
1997,Aug,1.91
1997,Sep,2.12
1997,Oct,2.4
1997,Nov,2.48
1997,Dec,2.32
1998,Jan,2.37
1998,Feb,2.03
1998,Mar,1.38
1998,Apr,0.9
1998,May,0.7
1998,Jun,-0.24
1998,Jul,-0.86
1998,Aug,-1.25
1998,Sep,-1.26
1998,Oct,-1.41
1998,Nov,-1.38
1998,Dec,-1.64
1999,Jan,-1.69
1999,Feb,-1.31
1999,Mar,-0.9
1999,Apr,-1.0
1999,May,-1.02
1999,Jun,-1.05
1999,Jul,-1.05
1999,Aug,-1.19
1999,Sep,-1.09
1999,Oct,-1.19
1999,Nov,-1.5
1999,Dec,-1.7
2000,Jan,-1.77
2000,Feb,-1.53
2000,Mar,-0.93
2000,Apr,-0.75
2000,May,-0.74
2000,Jun,-0.64
2000,Jul,-0.55
2000,Aug,-0.47
2000,Sep,-0.52
2000,Oct,-0.65
