Year,Month,IOD_Index
1907,Jan,-0.37
1907,Feb,-0.185
1907,Mar,-0.051
1907,Apr,-0.367
1907,May,-0.308
1907,Jun,-0.345
1907,Jul,-0.602
1907,Aug,-0.933
1907,Sep,-0.526
1907,Oct,-0.403
1907,Nov,-0.388
1907,Dec,-0.221
1908,Jan,-0.392
1908,Feb,-0.35
1908,Mar,-0.251
1908,Apr,-0.789
1908,May,-0.229
1908,Jun,0.041
1908,Jul,-0.598
1908,Aug,-0.46
1908,Sep,-0.318
1908,Oct,-0.468
1908,Nov,-0.508
1908,Dec,-0.582
1909,Jan,-0.732
1909,Feb,-0.501
1909,Mar,-0.559
1909,Apr,-0.444
1909,May,-0.802
1909,Jun,-0.917
1909,Jul,-1.032
1909,Aug,-0.986
1909,Sep,-0.919
1909,Oct,-0.729
1909,Nov,-0.424
1909,Dec,-0.256
1910,Jan,-0.551
1910,Feb,-0.169
1910,Mar,-0.489
1910,Apr,-0.394
1910,May,-0.531
1910,Jun,-0.46
1910,Jul,-1.036
1910,Aug,-0.821
1910,Sep,-1.022
1910,Oct,-1.053
1910,Nov,-0.682
1910,Dec,-0.296
1911,Jan,-0.194
1911,Feb,-0.486
1911,Mar,-0.735
1911,Apr,-0.744
1911,May,-0.436
1911,Jun,-0.814
1911,Jul,-0.774
1911,Aug,-0.586
1911,Sep,-0.544
1911,Oct,-0.669
1911,Nov,-0.229
1911,Dec,-0.153
1912,Jan,-0.252
1912,Feb,-0.302
1912,Mar,-0.052
1912,Apr,-0.257
1912,May,-0.061
1912,Jun,-0.003
1912,Jul,-0.672
1912,Aug,-0.767
1912,Sep,-0.725
1912,Oct,-0.609
1912,Nov,-0.734
1912,Dec,-0.502
1913,Jan,-0.237
1913,Feb,-0.136
1913,Mar,-0.135
1913,Apr,-0.266
1913,May,-0.187
1913,Jun,0.101
1913,Jul,-0.338
1913,Aug,-0.482
1913,Sep,-0.468
1913,Oct,-0.135
1913,Nov,-0.24
1913,Dec,-0.248
1914,Jan,-0.288
1914,Feb,-0.172
1914,Mar,-0.353
1914,Apr,-0.238
1914,May,-0.106
1914,Jun,0.554
1914,Jul,0.102
1914,Aug,-0.024
1914,Sep,-0.066
1914,Oct,-0.057
1914,Nov,-0.558
1914,Dec,-0.712
1915,Jan,-0.63
1915,Feb,-0.688
1915,Mar,-0.403
1915,Apr,-0.28
1915,May,-0.495
1915,Jun,-0.202
1915,Jul,-0.704
1915,Aug,-0.44
1915,Sep,-0.377
1915,Oct,-0.316
1915,Nov,-0.227
1915,Dec,-0.026
1916,Jan,-0.13
1916,Feb,-0.03
1916,Mar,0.058
1916,Apr,0.138
1916,May,-0.156
1916,Jun,-0.398
1916,Jul,-0.686
1916,Aug,-0.852
1916,Sep,-1.268
1916,Oct,-0.97
1916,Nov,-0.706
1916,Dec,-0.28
1917,Jan,-0.03
1917,Feb,-0.046
1917,Mar,-0.092
1917,Apr,-0.236
1917,May,-0.408
1917,Jun,-0.341
1917,Jul,-0.591
1917,Aug,-0.435
1917,Sep,-0.872
1917,Oct,-1.064
1917,Nov,-0.897
1917,Dec,-0.67
1918,Jan,0.013
1918,Feb,0.135
1918,Mar,0.107
1918,Apr,-0.294
1918,May,-0.421
1918,Jun,-0.203
1918,Jul,-0.129
1918,Aug,-0.078
1918,Sep,-0.0
1918,Oct,0.152
1918,Nov,0.195
1918,Dec,0.057
1919,Jan,-0.027
1919,Feb,-0.117
1919,Mar,-0.27
1919,Apr,-0.407
1919,May,-0.399
1919,Jun,-0.356
1919,Jul,-0.176
1919,Aug,-0.319
1919,Sep,-0.22
1919,Oct,-0.349
1919,Nov,-0.262
1919,Dec,-0.406
1920,Jan,0.017
1920,Feb,0.055
1920,Mar,0.139
1920,Apr,0.058
1920,May,0.27
1920,Jun,-0.058
1920,Jul,-0.59
1920,Aug,-0.601
1920,Sep,-0.609
1920,Oct,-0.446
1920,Nov,-0.577
1920,Dec,-0.388
1921,Jan,-0.296
1921,Feb,-0.165
1921,Mar,-0.081
1921,Apr,-0.189
1921,May,-0.041
1921,Jun,-0.214
1921,Jul,-0.441
1921,Aug,-0.932
1921,Sep,-0.548
1921,Oct,-0.474
1921,Nov,-0.484
1921,Dec,-0.382
1922,Jan,-0.382
1922,Feb,-0.196
1922,Mar,0.079
1922,Apr,-0.39
1922,May,-0.376
1922,Jun,-0.068
1922,Jul,-0.548
1922,Aug,-0.415
1922,Sep,-0.511
1922,Oct,-0.529
1922,Nov,-0.547
1922,Dec,-0.304
1923,Jan,-0.204
1923,Feb,-0.413
1923,Mar,-0.282
1923,Apr,-0.239
1923,May,-0.311
1923,Jun,-0.102
1923,Jul,-0.403
1923,Aug,-0.001
1923,Sep,0.241
1923,Oct,0.276
1923,Nov,0.448
1923,Dec,-0.202
1924,Jan,-0.434
1924,Feb,-0.597
1924,Mar,-0.428
1924,Apr,-0.267
1924,May,-0.415
1924,Jun,-0.447
1924,Jul,-0.395
1924,Aug,-0.418
1924,Sep,-0.652
1924,Oct,-0.209
1924,Nov,-0.409
1924,Dec,-0.365
1925,Jan,-0.317
1925,Feb,-0.028
1925,Mar,-0.008
1925,Apr,0.482
1925,May,-0.043
1925,Jun,0.081
1925,Jul,-0.167
1925,Aug,-0.04
1925,Sep,0.389
1925,Oct,0.103
1925,Nov,0.118
1925,Dec,-0.152
1926,Jan,-0.004
1926,Feb,-0.359
1926,Mar,-0.041
1926,Apr,-0.247
1926,May,-0.085
1926,Jun,0.147
1926,Jul,-0.231
1926,Aug,-0.006
1926,Sep,-0.405
1926,Oct,-0.115
1926,Nov,-0.49
1926,Dec,-0.422
1927,Jan,-0.201
1927,Feb,0.042
1927,Mar,-0.202
1927,Apr,-0.398
1927,May,-0.256
1927,Jun,-0.168
1927,Jul,-0.575
1927,Aug,-0.611
1927,Sep,-0.664
1927,Oct,-0.602
1927,Nov,-0.287
1927,Dec,-0.378
1928,Jan,-0.377
1928,Feb,-0.36
1928,Mar,-0.277
1928,Apr,-0.313
1928,May,-0.268
1928,Jun,-0.465
1928,Jul,-0.64
1928,Aug,-0.891
1928,Sep,-0.87
1928,Oct,-0.733
1928,Nov,-0.206
1928,Dec,-0.372
1929,Jan,-0.284
1929,Feb,-0.362
1929,Mar,-0.238
1929,Apr,-0.222
1929,May,-0.361
1929,Jun,-0.246
1929,Jul,-0.388
1929,Aug,-0.487
1929,Sep,-0.305
1929,Oct,-0.356
1929,Nov,-0.281
1929,Dec,-0.024
1930,Jan,-0.423
1930,Feb,-0.513
1930,Mar,-0.32
1930,Apr,-0.245
1930,May,-0.445
1930,Jun,-0.138
1930,Jul,-0.405
1930,Aug,-0.33
1930,Sep,-0.802
1930,Oct,-0.417
1930,Nov,0.112
1930,Dec,-0.114
1931,Jan,-0.057
1931,Feb,-0.334
1931,Mar,-0.548
1931,Apr,-0.525
1931,May,-0.258
1931,Jun,-0.28
1931,Jul,-0.413
1931,Aug,-0.502
1931,Sep,-1.01
1931,Oct,-0.597
1931,Nov,-0.184
1931,Dec,-0.812
1932,Jan,-0.426
1932,Feb,-0.58
1932,Mar,-0.438
1932,Apr,-0.125
1932,May,-0.378
1932,Jun,-0.396
1932,Jul,-0.245
1932,Aug,-0.489
1932,Sep,-0.403
1932,Oct,-0.729
1932,Nov,-0.314
1932,Dec,-0.033
1933,Jan,-0.189
1933,Feb,-0.092
1933,Mar,0.039
1933,Apr,0.178
1933,May,-0.344
1933,Jun,-0.307
1933,Jul,-0.469
1933,Aug,-0.631
1933,Sep,-1.567
1933,Oct,-0.985
1933,Nov,-0.604
1933,Dec,-0.472
1934,Jan,-0.611
1934,Feb,-0.251
1934,Mar,-0.166
1934,Apr,-0.134
1934,May,-0.2
1934,Jun,-0.016
1934,Jul,-0.325
1934,Aug,-0.012
1934,Sep,-0.497
1934,Oct,-0.322
1934,Nov,-0.155
1934,Dec,-0.159
1935,Jan,0.007
1935,Feb,-0.055
1935,Mar,0.119
1935,Apr,-0.216
1935,May,0.063
1935,Jun,0.091
1935,Jul,0.052
1935,Aug,-0.024
1935,Sep,-0.247
1935,Oct,-0.304
1935,Nov,0.119
1935,Dec,0.022
1936,Jan,0.086
1936,Feb,-0.389
1936,Mar,-0.211
1936,Apr,-0.069
1936,May,-0.192
1936,Jun,0.064
1936,Jul,-0.073
1936,Aug,-0.438
1936,Sep,-0.446
1936,Oct,-0.691
1936,Nov,-0.063
1936,Dec,-0.318
1937,Jan,-0.113
1937,Feb,-0.231
1937,Mar,-0.256
1937,Apr,-0.402
1937,May,0.042
