date,temperature_mean_celsius,relative_humidity_mean_percent,evapotranspiration_mm_day
2010-05-10 18:30:00,32.137745,69.10194,7.2850957
2010-05-11 18:30:00,31.935661,70.73609,7.1430297
2010-05-12 18:30:00,32.210667,69.28221,7.1889553
2010-05-13 18:30:00,31.887747,72.728035,6.744762
2010-05-14 18:30:00,31.954414,71.36588,6.7132807
2010-05-15 18:30:00,32.044003,69.71822,6.941985
2010-05-16 18:30:00,32.09191,71.52853,6.3822045
2010-05-17 18:30:00,30.258583,78.634285,2.7573903
2010-05-18 18:30:00,27.219004,86.054474,1.7782102
2010-05-19 18:30:00,29.077332,73.44954,3.9269056
2010-05-20 18:30:00,30.123163,73.20336,4.6789246
2010-05-21 18:30:00,30.60025,73.32425,5.975464
2010-05-22 18:30:00,31.114832,73.98705,6.266466
2010-05-23 18:30:00,31.708582,69.31275,6.9471145
2010-05-24 18:30:00,32.19608,67.41953,7.1144114
2010-05-25 18:30:00,32.80025,60.323914,7.648674
2010-05-26 18:30:00,32.52108,60.18457,7.5523815
2010-05-27 18:30:00,32.085667,66.99474,7.057972
2010-05-28 18:30:00,32.76275,62.217205,7.598071
2010-05-29 18:30:00,33.02525,58.988407,7.714054
2010-05-30 18:30:00,32.775253,59.487274,7.247785
2010-05-31 18:30:00,32.48567,59.205708,7.1036863
2010-06-01 18:30:00,32.47108,63.354717,6.920033
2010-06-02 18:30:00,33.319,59.904053,7.1957517
2010-06-03 18:30:00,33.183582,61.064205,7.0056205
2010-06-04 18:30:00,31.346083,68.26627,5.929928
2010-06-05 18:30:00,32.30025,54.468445,6.975471
2010-06-06 18:30:00,32.119,55.226196,7.128897
2010-06-07 18:30:00,32.21692,57.98941,6.2980256
2010-06-08 18:30:00,30.150251,68.284935,3.1571937
2010-06-09 18:30:00,28.7065,81.96596,2.607145
2010-06-10 18:30:00,26.435667,91.79865,1.0706387
2010-06-11 18:30:00,28.921087,76.615875,4.7663903
2010-06-12 18:30:00,29.664831,71.248566,5.7543926
2010-06-13 18:30:00,29.758585,69.80541,4.9992557
2010-06-14 18:30:00,29.873169,73.75901,5.512037
2010-06-15 18:30:00,29.635672,74.005,4.72523
2010-06-16 18:30:00,29.754417,75.41514,4.751114
2010-06-17 18:30:00,29.398163,76.73673,4.801743
2010-06-18 18:30:00,29.716913,75.54606,5.2132535
2010-06-19 18:30:00,29.804419,74.74853,5.2508802
2010-06-20 18:30:00,29.341919,79.926834,4.83947
2010-06-21 18:30:00,29.752333,76.94322,5.4139566
2010-06-22 18:30:00,30.394003,67.202866,5.278739
2010-06-23 18:30:00,29.67317,66.00824,4.430349
2010-06-24 18:30:00,29.552332,68.3351,4.8382416
2010-06-25 18:30:00,29.964834,68.376366,5.7003026
2010-06-26 18:30:00,30.271082,69.92939,5.7796006
2010-06-27 18:30:00,29.889833,76.23882,5.3720183
2010-06-28 18:30:00,29.98775,75.53876,5.566228
2010-06-29 18:30:00,30.11275,71.02993,5.0148644
2010-06-30 18:30:00,28.775248,75.79767,3.3337643
2010-07-01 18:30:00,28.335665,70.32755,3.0771368
2010-07-02 18:30:00,29.51275,67.146065,5.8503737
2010-07-03 18:30:00,28.431496,80.19889,2.9038367
2010-07-04 18:30:00,29.118998,78.9153,4.2802
2010-07-05 18:30:00,28.256498,80.16106,3.1452947
2010-07-06 18:30:00,28.10025,79.998795,3.114128
2010-07-07 18:30:00,27.479414,83.59165,2.7258003
2010-07-08 18:30:00,27.943998,83.20636,4.380817
2010-07-09 18:30:00,28.262749,82.0556,4.818241
2010-07-10 18:30:00,29.023169,77.76582,5.4894323
2010-07-11 18:30:00,28.889832,77.5904,5.3367057
2010-07-12 18:30:00,28.01484,80.72,3.7603538
2010-07-13 18:30:00,29.594,69.19827,5.577112
2010-07-14 18:30:00,29.831497,70.113106,5.118297
2010-07-15 18:30:00,28.87525,74.705215,3.7849474
2010-07-16 18:30:00,27.6315,83.840866,3.983069
2010-07-17 18:30:00,27.848167,82.87989,2.9152136
2010-07-18 18:30:00,28.291916,78.793976,3.644724
2010-07-19 18:30:00,26.360664,84.88323,1.9807868
2010-07-20 18:30:00,27.118998,83.087944,2.6102998
2010-07-21 18:30:00,28.17733,76.3675,4.234316
2010-07-22 18:30:00,29.300247,66.52506,5.3767915
2010-07-23 18:30:00,29.127335,65.28591,4.3584204
2010-07-24 18:30:00,28.933586,63.001755,4.6027746
2010-07-25 18:30:00,29.473162,61.00122,5.0720253
2010-07-26 18:30:00,28.952337,68.679855,4.577377
2010-07-27 18:30:00,28.764837,67.376366,3.9221041
2010-07-28 18:30:00,27.81275,74.27068,3.6926143
2010-07-29 18:30:00,28.608582,69.91636,4.8387694
2010-07-30 18:30:00,29.039833,70.700356,5.250047
2010-07-31 18:30:00,29.34817,65.93496,4.4964128
2010-08-01 18:30:00,29.610666,64.69907,5.321541
2010-08-02 18:30:00,29.041916,66.84852,4.3208995
2010-08-03 18:30:00,28.552336,68.84086,3.9055488
2010-08-04 18:30:00,29.404417,66.78382,5.310144
2010-08-05 18:30:00,29.50025,70.44009,4.853221
2010-08-06 18:30:00,29.587748,72.828804,5.5818
2010-08-07 18:30:00,29.477331,72.665565,5.448485
2010-08-08 18:30:00,29.581503,70.26076,5.289777
2010-08-09 18:30:00,30.271086,67.26269,5.7020626
2010-08-10 18:30:00,30.148165,66.71683,4.865761
2010-08-11 18:30:00,29.919,71.695015,4.7537456
2010-08-12 18:30:00,28.866913,77.657234,4.4885726
2010-08-13 18:30:00,28.402334,81.78882,4.3839407
2010-08-14 18:30:00,27.741915,84.17826,3.144569
2010-08-15 18:30:00,28.069,81.743965,3.042512
2010-08-16 18:30:00,28.087751,84.12048,4.0096874
2010-08-17 18:30:00,27.079416,84.13847,2.0864296
2010-08-18 18:30:00,28.52317,75.20357,4.376808
2010-08-19 18:30:00,27.591917,85.68006,3.785085
2010-08-20 18:30:00,26.50025,87.20176,2.6907988
2010-08-21 18:30:00,26.808578,84.56642,3.0891063
2010-08-22 18:30:00,27.716917,82.01949,3.2052164
2010-08-23 18:30:00,27.206503,84.122406,2.395177
2010-08-24 18:30:00,25.789835,88.02615,1.6443728
2010-08-25 18:30:00,27.741913,79.15774,4.1394434
2010-08-26 18:30:00,28.525251,78.133545,4.3954525
2010-08-27 18:30:00,28.725248,79.39256,4.8552027
2010-08-28 18:30:00,28.150253,81.30637,3.5067732
2010-08-29 18:30:00,27.429413,81.52469,3.5437539
2010-08-30 18:30:00,28.154417,76.127716,4.4872184
2010-08-31 18:30:00,28.791914,72.16197,5.1373153
2010-09-01 18:30:00,28.529413,71.62353,4.217536
2010-09-02 18:30:00,27.389832,78.97855,2.4190578
2010-09-03 18:30:00,28.566917,74.047195,4.1509123
2010-09-04 18:30:00,28.708586,75.107445,4.5121284
2010-09-05 18:30:00,28.748163,71.06643,4.387215
2010-09-06 18:30:00,28.80233,71.2922,4.172538
2010-09-07 18:30:00,29.156502,70.79241,5.276866
2010-09-08 18:30:00,28.746078,74.92306,4.7467
2010-09-09 18:30:00,27.352335,85.64676,2.9322054
2010-09-10 18:30:00,27.525248,81.742165,4.1789794
2010-09-11 18:30:00,27.558584,81.97723,2.9202795
2010-09-12 18:30:00,27.110666,83.595726,3.8080206
